Index,Address,Name,Date,Transactions
57,0x39ab721a0a843e6184cf92ccbc96a133f3d1bb68,AccountModule,18/07/2024,1
58,0xca2260390a2221e6c3e9c33323dd0fde695b05fd,AssociateDebtModule,18/07/2024,1
59,0xd1d4a8952cbb95a4b600240952ad52150aec54e0,CollateralConfigurationModule,18/07/2024,1
60,0x5c80aaab58f1d146e287af5d5e11beb6cdf8d46c,CollateralModule,18/07/2024,1
61,0x63ebc8ed63b7de482844ede10c5ab04f50ecf36f,IssueUSDModule,18/07/2024,1
62,0x32dcb1eb44953737cae2b8ff9984359a2636ffcc,PoolConfigurationModule,18/07/2024,1
63,0x9d2e092fd18f3bf7dc6a11124ab8365116fc46e2,MarketCollateralModule,18/07/2024,1
64,0xb2505d6ea571639c9902ecca70a1f93a0d321e39,LiquidationModule,18/07/2024,1
65,0x24122032cd490f67180fea525edfcd1e373a8cd0,MarketManagerModule,18/07/2024,1
66,0x8b6603d48d525bd4c118a803044e1c37b9a7174e,PoolModule,18/07/2024,1
67,0x00aad1449059dffb524dd23d21ae2601b0fffb42,RewardsManagerModule,18/07/2024,1
68,0x6418882acd5326477ed374d962e4a7631d64f284,VaultModule,18/07/2024,1
69,0xce7d0e4b048719e35fac66c16e7680c7c086c84c,AsyncOrderConfigurationModule,18/07/2024,1
70,0xdd1ee5ed388b2e2d0503e3e768773ea409ee548d,AsyncOrderModule,18/07/2024,1
71,0xdd4c514839198584ec18a89dcaad08d59831b1d4,AsyncOrderSettlementModule,18/07/2024,1
72,0x4a05757daf26eb0b74b6dfd7b8aa6a787cee14ed,AtomicOrderModule,18/07/2024,1
73,0xaa78b9a428e0e5a3451882688e829ece85784a25,MarketConfigurationModule,18/07/2024,1
74,0xe54538fd29ff476c8a1f131c593828a864896cc8,SpotMarketFactoryModule,18/07/2024,1
75,0xfbeab6621b30f486a2e03bf328c879485d96dfe7,WrapperModule,18/07/2024,1
76,0x0af6e02f3cc1bfeba408383dcd382872fd5da592,FeedPriceOracle,18/07/2024,1
77,0xbd5bf37fc39e03d675d09e0890f549def14f796b,NodeModule,14/08/2024,1
78,0x806b9d4b0a56b6d1d9cacb60aee95e8d885bd55a,AccountModule,14/08/2024,1
79,0x2266e6b43615622c737b881bb430b6ed90e94b34,AssociateDebtModule,14/08/2024,1
80,0x918f7b6fb894cff6548453e723ab06eb74c9ea62,CollateralConfigurationModule,14/08/2024,1
81,0x87eeb627d70816caa91a4f2245c358962610bf29,CollateralModule,14/08/2024,1
82,0x9a088090892327ffdcc01b677f58ee2939fb7163,IssueUSDModule,14/08/2024,1
83,0x5eff594e10acb20919a577794c4e9b4bb1221f17,LiquidationModule,14/08/2024,1
84,0x366439c0bef9d40e8340426ad88d685d8e11d55c,MarketCollateralModule,14/08/2024,1
85,0x3eaee9c1e78fd01fdef8ffe99df9de0551acc299,PoolConfigurationModule,14/08/2024,1
86,0x86c62a51fb091487af1139cfc9590a2eb10940c4,MarketManagerModule,14/08/2024,1
87,0xaa47dc08362fc6fee3408dc09c42855bf3de0a92,RewardsManagerModule,14/08/2024,1
88,0xe40725e3fc5c0277a094025c9a3abca4ee2a2b76,PoolModule,14/08/2024,1
89,0x1c234a5eec9034e542f23c1f31c99d505364c03a,VaultModule,14/08/2024,1
90,0xd8296c6bfccaf00c374826a83be294c6f564488c,AccountModule,09/10/2024,1
91,0x7ff3b04654602014f51692baa0e7a3ef40b3f830,AssociateDebtModule,09/10/2024,1
92,0xe95373b3a8c26d2bec2fd731a47cd49bef3c2cda,CollateralConfigurationModule,09/10/2024,1
93,0xbe5360faae167b08c302e640aecad2af81a97ce2,CollateralModule,09/10/2024,1
94,0xc06d3e74d58c67453130d4cebd6c96be9ad0060d,MarketCollateralModule,09/10/2024,1
95,0xe6f25a27dd45945aae7abc4f2a8dd02212d99bab,IssueUSDModule,09/10/2024,1
96,0x745dd7113e0759c73bf48aed34c70076ad60c805,LiquidationModule,09/10/2024,1
97,0xd86c1352b63d2f4e9554ee35379330dfc1e65f46,MarketManagerModule,09/10/2024,1
98,0xc0f7411c04922b4cb049a3e09ff2df89cb45d11b,PoolConfigurationModule,09/10/2024,1
99,0x9fab0e7bbaf0f1a3f3c4d1df4770e2ccb5299b8c,RewardsManagerModule,09/10/2024,1
100,0x01a4be191964de8272b3411367829038c3f4406b,PoolModule,09/10/2024,1
101,0x6f79c23d482ea6d2b075092289aefb86e761ee9d,PythOracle,27/08/2024,1
102,0xc642c492bbfffb7cca586245a520afb313debb74,PythOracle,02/10/2024,1
103,0xf21842c0dce883d02d0c62ab45aaa2c4dfa4e93c,PythOracle,21/10/2024,1
104,0xc05055e42986954029a463fed5b4178c24b0d4e1,PythOracle,29/10/2024,1
105,0xf1e04aff68bb60af56592d4ac3157be62bf2fad4,NodeModule,19/02/2025,1
106,0xe37042640e497c82dccaf00643013b6418947b92,AccountModule,19/02/2025,1
107,0xcdf47798128b2a771465b5833ca0c3ef1c913add,CollateralConfigurationModule,19/02/2025,1
108,0x7ccb9c6d39364831451f3a40d6411e506424e203,AssociateDebtModule,19/02/2025,1
109,0x8fbf6d64b1e9b679a5cbacfcc4c8ca72df65f251,CollateralModule,19/02/2025,1
110,0xbca246cd7850875e5c6598451b916f3a33a773d8,IssueUSDModule,19/02/2025,1
111,0x50a6b732b9a4dd3caa5f8fb33110728f8f65e4f0,MarketCollateralModule,19/02/2025,1
112,0xb0a8c84360f505e050f4f76042fdc4f29320be2a,PoolConfigurationModule,19/02/2025,1
113,0x7656bdee9f4e7a507fd0c5b2431d3f3690e20711,MarketManagerModule,19/02/2025,1
