Index,Address,Name,Date,Transactions,是否oracle,检查结果
112,0xa3a75fd9f19bd334605f59527552dbc6c7f6fd88,EthereumPriceFeedTacethFundamentalWithoutRoundsV1,17/04/2025,1,,
113,0x4cec96a68cb9a979621b104f3c94884be1a66da0,EthereumPriceFeedTacusdFundamentalWithoutRoundsV1,17/04/2025,1,,
114,0x96572d32d699ce463fdf36610273cc76b7d83f9b,EthereumPriceFeedTacbtcFundamentalWithoutRoundsV1,17/04/2025,1,,
116,0xffe5f5e9e18b88fbdd7e28d4a583a111c874fb47,EthereumPriceFeedBuidlIEthereumFundamentalWithoutRoundsV1,29/04/2025,1,,
117,0x82721e2c5ef2df1796b09728376361892b155594,EthereumPriceFeedBuidlIEthereumDailyAccrualWithoutRoundsV1,29/04/2025,1,,
118,0x9174cef3a68837e765e87909cb1d3424fd39810d,EthereumPriceFeedSwethFundamentalWithoutRoundsV1,29/04/2025,1,,
119,0xa74a13439f782498b44a43131784e7d79014596f,RedstonePriceFeed,08/05/2025,1,,
121,0xf5839a9ef554ad59453d78867e3d7de2cd7e80aa,ExampleRedstoneShowroom,03/10/2023,1,,
19,0x744cb10cdf5eeaae371df375c0367e83045f17dc,RedstonePriceFeed,16/12/2023,,,
28,0x154d98d7a4d4ec935d63e73281960bda5684ec72,RedstonePriceFeed,18/02/2024,,,
41,0x6f13996411743d22566176482b6b677ec4eb6ce6,RedstonePriceFeed,03/05/2024,,,
42,0xcf1fdc8dc6e83b38729d58c117be704bb2ac362a,RedstonePriceFeed,19/05/2024,,,
62,0xd7396fa3afb9833293ce2149eeb3dbf5380b1e0d,RedstonePriceFeed,06/09/2024,,,
71,0xed96db504ac622d6920b34f357b30d6651578940,RedstonePriceFeed,15/11/2024,,,
72,0x6b0f8c32992b8c824a27ab8c93e94a9dd263cd9f,RedstonePriceFeed,16/12/2024,,,
100,0x2d622cadd828ee072255287a941c0b65c5e2714b,PriceFeedCompressor,04/03/2025,,,
101,0x05cf6e9c382eb9a61166453cea84b645f9f1886e,RedstonePriceFeedSerializer,04/03/2025,,,
102,0x48e5b250ddac3cd14d37f3c5f3b16fec2cac64f5,MarketCompressor,04/03/2025,,,
115,0xe56bd00690495df904abc3f7223438a9681f55a4,PriceFeedCompressor,22/04/2025,,,
120,0x4e202a7e713d00804f9ce397260362bf5e0eaaa8,EthereumPriceFeedVbillEthereumFundamentalWithoutRoundsV1,22/05/2025,,,
122,0x993b33f7bdd6b60fa3b09e4cf32c72868cce3c82,ERC7412RedstoneFeed,16/03/2025,,,
